t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-01-01,14.9,5.8,3.1,11.9,3.1,2.8
2026-01-02,10.7,29.4,5.0,5.7,5.0,24.4
2026-01-03,8.5,30.4,3.6,5.0,3.6,26.8
2026-01-04,9.1,18.2,4.7,4.4,4.7,13.5
2026-01-05,14.0,22.8,3.7,10.4,3.7,19.1
2026-01-06,17.6,31.4,5.5,12.1,5.5,25.9
2026-01-07,14.3,30.2,4.8,9.5,4.8,25.4
2026-01-08,10.9,29.1,2.3,8.6,2.3,26.8
2026-01-09,13.7,22.1,6.3,7.4,6.3,15.9
2026-01-10,19.0,14.8,7.8,11.3,7.8,7.0
2026-01-11,13.1,32.9,5.5,7.5,5.5,27.3
2026-01-12,8.6,24.7,1.9,6.7,1.9,22.8
2026-01-13,16.6,17.4,7.9,8.7,7.9,9.5
2026-01-14,8.9,24.2,2.7,6.3,2.7,21.6
2026-01-15,11.7,5.4,2.5,9.2,2.5,3.0
2026-01-16,10.0,7.3,2.3,7.7,2.3,4.9
2026-01-17,20.6,1.9,1.8,18.8,1.8,0.1
2026-01-18,12.4,1.9,1.5,10.8,1.5,0.3
2026-01-19,11.7,2.1,1.4,10.3,1.4,0.7
2026-01-20,10.5,3.9,2.0,8.5,2.0,1.9
2026-01-21,13.6,24.8,7.8,5.7,7.8,17.0
2026-01-22,13.0,8.3,3.3,9.6,3.3,5.0
2026-01-23,13.3,6.5,2.7,10.6,2.7,3.8
2026-01-24,16.6,8.1,2.3,14.3,2.3,5.9
2026-01-25,16.1,15.5,7.1,9.0,7.1,8.4
2026-01-26,10.2,32.2,2.2,8.0,2.2,30.0
2026-01-27,9.2,12.9,2.6,6.6,2.6,10.3
